,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6560,1.13547E+18,near festivals & united center,55893636,Danielle,Not Available,East Garfield Park,41.88623,-87.70142,Private room,50,1,47,2/25/2025,4.45,1,44,47
6561,1.13548E+18,McCormick 2B/2Ba for up to 8 guests w Opt Parking,370154553,Innesa,Not Available,Near South Side,41.85421,-87.62541,Entire home/apt,168,2,16,2/2/2025,1.58,24,337,16
6562,1.13553E+18,Stylish Room in West Town Chicago,16303051,Jennifer,Not Available,West Town,41.893,-87.67829,Private room,52,32,3,1/31/2025,0.41,6,259,3
6563,1.13622E+18,McCormick 2B/2Ba for up to 8 guests w Opt Parking,370154553,Innesa,Not Available,Near South Side,41.85353982,-87.62314812,Entire home/apt,179,2,31,2/10/2025,2.92,24,343,31
6564,1.1363E+18,Private King Room in Prime Logan Square,543443163,Benjamin,Not Available,Logan Square,41.92292444,-87.703976,Private room,46,3,26,2/16/2025,2.57,3,216,26
6565,1.13645E+18,Hyde Park UChicago Medical Museums 20% OFF 2BR,100179,Kenneth,Not Available,Woodlawn,41.78571,-87.61002,Entire home/apt,375,2,1,8/5/2024,0.14,5,16,1
6566,1.13652E+18,Upgrade Your Vacation.Luxury & Serenity|TheMaple,248760412,Cloud9,Not Available,Near North Side,41.90794,-87.65153,Entire home/apt,413,2,3,2/22/2025,0.29,93,0,3
6567,1.13653E+18,Escape the Chaos! Luxurious & Calm Haven | TheElm,248760412,Cloud9,Not Available,Near North Side,41.90794,-87.65153,Entire home/apt,482,2,29,3/2/2025,2.66,93,0,29
6568,1.13653E+18,Travelers Are Raving About This Place|TheHemlock,248760412,Cloud9,Not Available,Near North Side,41.90794,-87.65153,Entire home/apt,439,2,8,1/5/2025,0.82,93,363,8
6569,1.13679E+18,"Blueground | West Loop, gym, roof, nr Union Park",107434423,Blueground,Not Available,Near West Side,41.88492,-87.66715,Entire home/apt,92,32,0,Not Available,Not Available,597,365,0
6570,1.13679E+18,"Blueground | West Loop, gym, roof, nr Union Park",107434423,Blueground,Not Available,Near West Side,41.8849149,-87.6671521,Entire home/apt,0,32,0,Not Available,Not Available,597,303,0
6571,1.13679E+18,"Blueground | West Loop, rooftop & dog wash, nr L",107434423,Blueground,Not Available,Near West Side,41.88492,-87.66715,Entire home/apt,141,32,0,Not Available,Not Available,597,73,0
6572,1.13712E+18,NEW Southport Designer Flat - Steps from Wrigley,481170999,Jorge,Not Available,Lake View,41.94721,-87.66324,Entire home/apt,80,1,32,2/18/2025,3.1,11,258,32
6573,1.13718E+18,3Bed by Chinatown / McCormick/free parking,128771693,Tony,Not Available,Armour Square,41.83885,-87.63314,Entire home/apt,153,1,10,3/7/2025,2.07,2,77,10
6574,1.1372E+18,Maison Blanc Noir ~ Chicago Mansion w/ King Beds,336313231,Kai,Not Available,Beverly,41.7180044,-87.6627175,Entire home/apt,985,2,11,1/5/2025,1.16,3,0,11
6575,1.13762E+18,7 Mi to Downtown: Luxe Chicago Condo,456513928,Evolve,Not Available,Washington Park,41.79513719,-87.62392651,Entire home/apt,209,2,12,1/26/2025,1.13,14,310,12
6576,1.13768E+18,Near Public Transportation,456921744,Leuyen,Not Available,Bridgeport,41.83324254,-87.6457337,Private room,37,1,19,2/17/2025,1.78,9,262,19
6577,1.1377E+18,Cloud9 |@TheLoop|Indoor pool|The Pansy,248760412,Cloud9,Not Available,Loop,41.885569,-87.6347367,Entire home/apt,997,2,0,Not Available,Not Available,93,365,0
6578,1.1377E+18,Cloud9|Near Millenium Park|The Poppy,248760412,Cloud9,Not Available,Loop,41.885569,-87.6347367,Entire home/apt,1340,2,1,12/4/2024,0.3,93,364,1
6579,1.1377E+18,Cloud9| Indoor pool & Games room| The Dahlia,248760412,Cloud9,Not Available,Loop,41.885569,-87.6347367,Entire home/apt,1459,2,1,9/7/2024,0.16,93,364,1
6580,1.1377E+18,"Cloud9|Golf,Gym,CoWorking@LincolnPark|The Ash",248760412,Cloud9,Not Available,Near North Side,41.90794,-87.65153,Entire home/apt,1070,2,0,Not Available,Not Available,93,364,0
6581,1.1377E+18,Cloud9|Media room|Coffe Bar|Golf |The Olive,248760412,Cloud9,Not Available,Near North Side,41.90794,-87.65153,Entire home/apt,1495,2,0,Not Available,Not Available,93,364,0
6582,1.13773E+18,Cozy Getaway Oasis PortagePark 5 BD/ 3BR,75266625,Juliana,Not Available,Portage Park,41.95862,-87.75446,Entire home/apt,204,1,36,2/25/2025,3.31,1,1,36
6583,1.13776E+18,McCormick Pl 420 friendly 3BR/2BA/Parking/Sleeps 8,243035563,Studebecker,Not Available,Near South Side,41.85485988,-87.62477634,Entire home/apt,224,2,10,2/24/2025,0.94,26,349,10
6584,1.13777E+18,ON-site Parking 10 Mins Near United Center,361968698,Amy,Not Available,West Town,41.8931601,-87.67068528,Entire home/apt,172,2,26,3/5/2025,2.74,21,176,26
6585,1.138E+18,Historic home - west bedroom,302156097,Bill,Not Available,Rogers Park,42.00382554,-87.66658282,Private room,90,1,8,8/23/2024,0.83,3,0,8
6586,1.13813E+18,"Blueground | West Loop, rooftop & dog wash, nr L",107434423,Blueground,Not Available,Near West Side,41.8849149,-87.6671521,Entire home/apt,183,32,1,10/27/2024,0.22,597,0,1
6587,1.13832E+18,Middle Bedroom in Victorian home close to Loyola,302156097,Bill,Not Available,Rogers Park,42.00355,-87.66708,Private room,90,1,28,1/13/2025,2.86,3,224,28
6588,1.13833E+18,Luxury Loft Collection 902 - Terrace - River North,464407683,Hubbard Holdings,Not Available,Near North Side,41.8952,-87.63207,Entire home/apt,783,2,40,3/2/2025,3.88,28,0,40
6589,1.13841E+18,Ms. Alberta's House,573165806,Lawrence,Not Available,South Shore,41.7560964,-87.5555262,Entire home/apt,103,3,13,2/24/2025,1.32,1,257,13
6590,1.13845E+18,3BR Vibrant Apartment in Hyde Park,570644446,Gracie,Not Available,Hyde Park,41.79913,-87.59079,Entire home/apt,148,1,30,2/24/2025,3,7,156,30
6591,1.13855E+18,Cozy Private Room in Chicago,16303051,Jennifer,Not Available,West Town,41.89164663,-87.68004654,Private room,52,32,2,12/21/2024,0.21,6,154,2
6592,1.13856E+18,Whole luxury apartment,9860978,Ilya And Sandy,Not Available,Greater Grand Crossing,41.7528,-87.6154,Entire home/apt,86,14,6,2/16/2025,0.63,4,331,6
6593,1.13986E+18,Luxury & Modern Fully Furnished,401606264,Vyvy,Not Available,West Ridge,41.99208,-87.69911,Entire home/apt,120,32,1,9/30/2024,0.18,1,268,1
6594,1.14067E+18,Luxury Loft Collection COMBO 902/903 Terrace,464407683,Hubbard Holdings,Not Available,Near North Side,41.89382702,-87.63215765,Entire home/apt,1347,2,9,3/9/2025,0.91,28,0,9
6595,1.1407E+18,"Sunny, top floor Logan Square apartment",68714969,Justin,Not Available,Logan Square,41.92608182,-87.69732116,Entire home/apt,105,32,1,12/20/2024,0.36,1,139,1
6596,1.1408E+18,Bright Condo with Skyline Views,6104557,Tejal,Not Available,West Town,41.89361856,-87.65558537,Entire home/apt,0,1,1,6/16/2024,0.11,2,0,1
6597,1.1408E+18,Charming 4BR Coach House in River West Chicago!,235678953,Patty,Not Available,West Town,41.89488,-87.65868,Entire home/apt,258,2,26,3/2/2025,2.57,27,344,26
6598,1.14097E+18,Old Town Two Floor Duplex Condo,2044393,Kevin,Not Available,Near North Side,41.9084683,-87.6412516,Entire home/apt,300,1,19,1/5/2025,2.42,2,302,19
6599,1.1411E+18,"Blueground | West Loop, gym, nr Fulton Market",107434423,Blueground,Not Available,Near West Side,41.8849149,-87.6671521,Entire home/apt,152,32,1,6/21/2024,0.11,597,315,1
6600,1.1411E+18,"Blueground | West Loop, roof, gym, grills, nr Park",107434423,Blueground,Not Available,Near West Side,41.88492,-87.66715,Entire home/apt,117,32,0,Not Available,Not Available,597,362,0
6601,1.1411E+18,"Blueground | West Loop, roof, gym, grills, nr Park",107434423,Blueground,Not Available,Near West Side,41.8849744,-87.6523958,Entire home/apt,0,32,0,Not Available,Not Available,597,322,0
6602,1.14124E+18,Cozy Studio in Chicago’s Heart,509411955,Cameel,Not Available,Near North Side,41.90315,-87.63266,Entire home/apt,135,32,1,8/16/2024,0.14,13,269,1
6603,1.14126E+18,Midway comfortable home 3 rooms,484234479,Freddy,Not Available,West Lawn,41.77512,-87.73215,Entire home/apt,109,32,2,11/1/2024,0.28,2,233,2
6604,1.14128E+18,McCormick 2B/2Ba for up to 8 guests w Opt Parking,370154553,Innesa,Not Available,Near South Side,41.85439644,-87.62543066,Entire home/apt,170,2,24,1/18/2025,2.3,24,357,24
6605,1.14129E+18,Pet-Friendly Home w/ Fenced Yard in Chicago!,456513928,Evolve,Not Available,West Pullman,41.65918,-87.6455,Entire home/apt,139,32,1,11/15/2024,0.25,14,355,1
6606,1.14129E+18,McCormick 2B/2Ba for up to 8 guests w Skyline view,370154553,Innesa,Not Available,Near South Side,41.85362983,-87.62332587,Entire home/apt,181,2,19,2/23/2025,1.84,24,350,19
6607,1.14135E+18,New 2bd near Downtown Chicago,573870135,Ken,Not Available,Armour Square,41.84304,-87.63263,Entire home/apt,141,2,12,10/21/2024,1.41,1,140,12
6608,1.14145E+18,VOGUE Bucktown Suite,196055525,Michael,Not Available,Logan Square,41.9152704,-87.6862529,Entire home/apt,202,1,29,1/21/2025,2.73,3,152,29
